0,1,2,3,4,5,6
Acquiror Name,Acquiror Mid Industry,Acquiror Nation,Target Name,Target Mid Industry,Target Nation,Value of Transaction ($mil)
Petrol Complex Pte Ltd,Oil & Gas,Singapore,Essar Oil Ltd,Oil & Gas,India,12907.25
Vodafone Grp Plc,Wireless,United Kingdom,Hutchison Essar Ltd,Telecommunications Services,India,12748.00
Vodafone Grp PLC-Vodafone Asts,Wireless,India,Idea Cellular Ltd-Mobile Bus,Wireless,India,11627.32
Bharti Airtel Ltd,Wireless,India,MTN Group Ltd,Wireless,South Africa,11387.52
Bharti Airtel Ltd,Wireless,India,Zain Africa BV,Wireless,Nigeria,10700.00
BP PLC,Oil & Gas,United Kingdom,Reliance Industries Ltd-21 Oil,Oil & Gas,India,9000.00
MTN Group Ltd,Wireless,South Africa,Bharti Airtel Ltd,Wireless,India,8775.09
Shareholders,Other Financials,India,Reliance Inds Ltd-Telecom Bus,Telecommunications Services,India,8063.01
Oil & Natural Gas Corp Ltd,Oil & Gas,India,Hindustan Petro Corp Ltd,Petrochemicals,India,5784.20
Reliance Commun Ventures Ltd,Telecommunications Services,India,Reliance Infocomm Ltd,Telecommunications Services,India,5577.18
